(34.202014332566854,93.96926207859084)
(31.351846471519618,86.13849023870827)
(28.50167861047238,78.3077183988257)
(25.651510749425142,70.47694655894313)
(22.8013428883779,62.646174719060554)
(19.951175027330663,54.81540287917799)
(17.101007166283427,46.98463103929542)
(14.25083930523619,39.15385919941285)
(11.40067144418895,31.323087359530277)
(8.550503583141714,23.49231551964771)
(5.700335722094472,15.661543679765131)
(2.850167861047236,7.830771839882566)
(-0.0,-0.0)
(-2.850167861047241,-7.830771839882579)
(-5.7003357220944775,-15.661543679765145)
(-8.550503583141719,-23.492315519647725)
(-11.400671444188955,-31.32308735953029)
(-14.250839305236196,-39.15385919941287)
(-17.101007166283427,-46.98463103929542)
(-19.951175027330667,-54.815402879178)
(-22.80134288837791,-62.64617471906058)
(-25.651510749425142,-70.47694655894313)
(-28.501678610472382,-78.30771839882571)
(-31.35184647151962,-86.13849023870829)
(-34.202014332566854,-93.96926207859084)
